Gene_ID	P09	P08	P07	P06	P05	P03	N11	N10	N04	N03	N02	N01	blast_hit_description	KEEG_ortholog_ID
SSCG00000000023	1.960575758	1.556426757	1.068361685	2.291744372	1.184631962	0.562489714	3.55574424	0.140057365	1.03435242	2.206722207	1.366750901	0.678324184	657545258:PREDICTED: pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 [Stegastes partitus]	
SSCG00000000026	26.38374806	18.18189439	17.91560364	23.55913214	19.38488665	26.83879491	23.80802665	26.40081338	16.41172506	26.48066649	21.61951425	20.41139136	736223915:PREDICTED: Hermansky-Pudlak syndrome 1 protein isoform X2 [Notothenia coriiceps]	K20193
SSCG00000000028	23.02276104	26.03477485	24.81886376	18.05894565	26.65421915	20.97283076	31.76980179	24.58006763	28.61708361	27.03234704	30.31701998	22.87802475	808880090:Ligand-dependent nuclear receptor corepressor-like protein [Larimichthys crocea]	
SSCG00000000029	3.417003464	1.83941344	1.725815029	3.025102571	0.969244333	1.285690774	1.314079393	0.910372875	0.896438764	2.69710492	1.180375778	1.479980038	831574086:PREDICTED: MORN repeat-containing protein 4 [Fundulus heteroclitus]	
SSCG00000000031	6.217825975	4.881520284	8.957801819	13.56712668	10.12321859	7.874855992	20.87067271	4.201720963	8.550646669	10.35933481	7.952005242	8.016558539	831574070:PREDICTED: slit homolog 1 protein isoform X3 [Fundulus heteroclitus]	K06838
SSCG00000000032	10.30702684	16.90845432	14.46397358	11.09204276	26.2772908	15.02651092	15.2278612	14.56596601	17.58399113	17.28599063	13.17050868	17.75976046	736223956:PREDICTED: cytochrome c oxidase assembly protein COX15 homolog [Notothenia coriiceps]	K02259
SSCG00000000034	90.18648486	75.27445771	93.9336466	80.39439256	87.01660231	67.659477	89.66659387	95.79923796	107.2278675	120.6954452	88.15543311	83.24887714	939286987:PREDICTED: calicular multispecific organic anion transporter 1-like [Maylandia zebra]	K05666
SSCG00000000035	0.504148052	1.061200062	0.903998349	0.366679099	0.807703611	1.124979427	0.618390303	3.571462819	1.241222904	0.490382713	1.30462586	0.678324184	808880083:Kv channel-interacting protein 2 [Larimichthys crocea]	
SSCG00000000036	16.35680347	12.80514741	11.8341602	14.02547555	13.1386454	10.28552619	12.6770012	12.81524894	11.86057441	9.439867221	15.09638495	10.11319693	657552507:PREDICTED: Hermansky-Pudlak syndrome 6 protein [Stegastes partitus]	K20192
SSCG00000000039	63.80273681	65.79440383	61.14316104	57.47694884	41.35442486	79.95389502	48.15714481	60.3647245	63.23341126	65.83387919	61.93866583	52.04596467	734599878:PREDICTED: probable lysosomal cobalamin transporter [Larimichthys crocea]	K14617
SSCG00000000048	0.392115152	0.848960049	0.575271676	1.375046623	1.507713406	3.535649629	1.855170908	3.291348088	1.792877527	0.980765426	0.994000655	0.616658349	657542422:PREDICTED: brain-specific angiogenesis inhibitor 3 [Stegastes partitus]	K04598
SSCG00000000049	11.20329004	15.28128089	12.16288687	12.10041028	12.65402323	12.29441803	10.51263514	6.932839589	11.72266076	15.32445977	11.6795077	9.619870247	657576858:PREDICTED: D primase large subunit [Stegastes partitus]	
SSCG00000000051	6.553924676	9.409307214	9.615255163	4.308479419	10.9847691	6.508809545	10.51263514	7.98326983	11.03309248	9.685058577	9.318756143	9.188209403	974092154:PREDICTED: zinc finger R-binding protein [Cyprinodon variegatus]	
SSCG00000000052	0.1120329	0.353733354	0.657453345	0.825027974	1.507713406	1.687469141	1.159481817	0.840344193	1.103309248	0.612978391	0.559125369	0.554992514	657591920:PREDICTED: ankyrin repeat domain-containing protein 34B [Stegastes partitus]	
SSCG00000000053	104.5266961	109.4450997	109.5481635	95.79491473	122.0170921	112.1765201	102.9619854	116.7378141	109.9171838	96.85058577	99.02731528	102.3036201	551524084:PREDICTED: zinc finger R-binding protein isoform X1 [Xiphophorus maculatus]	K13203
SSCG00000000056	24.0870736	29.7843484	29.17449216	25.85087651	38.82362022	32.14226936	30.14652725	32.8434522	34.34050033	43.88925279	29.75789462	35.82785009	657813709:PREDICTED: protein FAM151B [Cynoglossus semilaevis]	
SSCG00000000058	28.40034026	25.89328151	28.18831215	29.24265818	40.76210888	41.94566151	36.25313149	27.80138704	34.68528447	33.46862015	33.92027236	37.55449347	734602712:PREDICTED: sigl recognition particle 9 kDa protein [Larimichthys crocea]	K03109
SSCG00000000059	5.265546321	5.37674698	4.930900084	5.316846942	10.9847691	5.544541464	7.420683631	3.991634915	5.309675754	6.007188232	4.535127989	7.338234355	974079284:PREDICTED: SRA stem-loop-interacting R-binding protein, mitochondrial [Cyprinodon variegatus]	
SSCG00000000060	45.98950563	34.45362867	28.43485715	35.017854	29.9388805	41.62423882	25.19940483	26.05066997	22.89366689	29.17777141	22.05438954	22.32303224	657567406:PREDICTED: epoxide hydrolase 1 [Stegastes partitus]	K01253
SSCG00000000062	56.07246667	77.11387115	65.08788111	27.50093246	94.50132244	50.62407424	106.5950284	142.7184554	89.23013541	94.33737437	82.87480463	143.3114004	688602529:PREDICTED: protein ebled homolog isoform X2 [Danio rerio]	K05746
SSCG00000000063	37.41898875	39.19365561	34.43411892	27.86761156	50.66993984	46.60629057	31.92439937	28.99187465	39.85704657	29.05517573	33.73389724	23.18635393	348531152:PREDICTED: lamin-B receptor [Oreochromis niloticus]	K19532
SSCG00000000064	47.66999914	52.21104304	49.88427251	42.90145464	57.34695635	63.23991496	66.78615268	57.98374929	58.06164916	61.05264774	57.27928776	59.5075307	734650134:PREDICTED: golgi-associated PDZ and coiled-coil motif-containing protein isoform X2 [Larimichthys crocea]	
SSCG00000000065	5.433595672	5.023013626	7.396350126	5.408516717	9.207821161	8.035567339	6.415799389	7.563097734	5.240718926	5.639401197	6.461004259	7.39990019	657571440:PREDICTED: alkylated D repair protein alkB homolog 1 [Stegastes partitus]	K10765
SSCG00000000066	75.398142	93.17336542	74.45659127	70.4023871	73.87795692	61.87386851	89.5119963	96.98972557	97.22912745	81.89391303	96.16956339	85.4688472	542241293:PREDICTED: D polymerase zeta catalytic subunit [Oreochromis niloticus]	K02350
SSCG00000000068	43.80486408	53.69672312	48.73372916	50.60171573	52.06995943	59.70426533	62.68931692	97.76004108	62.61279981	54.61637464	54.42153587	73.56734106	657750915:PREDICTED: adapter protein CIKS isoform X1 [Cynoglossus semilaevis]	
SSCG00000000069	12.32361905	10.11677392	11.17670686	14.66716398	15.45406242	15.02651092	11.74941575	18.27748619	11.5847471	10.05284561	7.268629791	7.708229365	938085174:tyrosine-protein kise fy-like [Scleropages formosus]	
SSCG00000000070	37.699071	38.34469556	38.95411066	45.55987811	60.25468935	48.77589375	41.74134542	38.44574681	34.34050033	40.82436084	29.57151949	42.24109692	657751029:PREDICTED: 60S ribosomal protein L7-like 1 [Cynoglossus semilaevis]	
SSCG00000000071	16.86095152	18.67712109	21.94250537	11.73373118	20.51567171	15.74971198	17.00573332	17.71725673	24.34176028	24.02875293	17.70563667	19.97973051	808868130:Sodium-dependent multivitamin transporter [Larimichthys crocea]	K14386
SSCG00000000072	2.072608658	1.83941344	1.397088357	1.833395497	1.723101036	1.848180488	1.623274544	2.31094653	1.723920699	2.513211403	1.180375778	2.281635892		
SSCG00000000074	30.30489957	21.15325456	25.88722544	21.72573664	19.49258047	28.76733107	19.78848968	25.91061261	24.75550124	19.61530851	19.5693879	19.48640383	852036281:TAK1-binding protein 2 [Epinephelus coioides]	K04404
SSCG00000000076	135.4477766	134.7724078	137.900839	132.0961456	124.0094277	193.0143275	136.5096593	145.8697461	155.6355607	132.4033324	125.0577074	146.1480288	657567420:PREDICTED: glycoprotein integral membrane protein 1 [Stegastes partitus]	
SSCG00000000077	9.91491169	15.35202756	11.91634187	9.075307712	8.130883013	9.48196946	11.36292181	12.46510552	14.06719291	13.30163108	17.58138659	8.879880228	657750841:PREDICTED: cyclin-dependent kise 19 [Cynoglossus semilaevis]	K02208
SSCG00000000079	28.79245542	31.76525518	33.53012057	22.45909484	40.70826197	26.03523818	50.7853036	46.49904533	71.43927379	51.12239781	50.32128317	79.85725622	734613367:PREDICTED: sodium-dependent glucose transporter 1 [Larimichthys crocea]	K08175
SSCG00000000080	18.26136277	15.91800093	18.24433031	13.10877781	16.26176603	21.53532047	16.61923938	17.29708463	10.27456737	12.32086566	11.55525762	8.386553549	734602742:PREDICTED: monocarboxylate transporter 10 [Larimichthys crocea]	K08187
SSCG00000000081	225.9703602	236.0816404	199.3727267	213.0405568	254.4804842	208.6033281	136.8188544	186.6964681	189.4933633	173.2889911	147.7954724	211.4521479	734602738:PREDICTED: S-adenosylmethionine decarboxylase proenzyme [Larimichthys crocea]	K01611
SSCG00000000082	26.1036658	28.36941498	28.51703882	31.07605368	35.7543465	32.22262503	26.97727695	29.13193201	22.82471006	27.95181463	23.23476532	31.69623915	974090962:PREDICTED: ribosome production factor 2 homolog [Cyprinodon variegatus]	K14847
SSCG00000000083	64.58696711	74.99147103	84.23620976	64.35218196	161.4868752	57.45430648	48.38904118	55.18260198	101.5734076	218.4654985	63.80241706	95.8903733	734602730:PREDICTED: probable ribonuclease ZC3H12D [Larimichthys crocea]	
SSCG00000000084	69.68446408	65.44067047	58.75989266	76.63593179	73.28564093	64.52560573	68.48672601	70.65894086	71.43927379	66.99853813	59.26728907	87.62715142	548446000:PREDICTED: katanin p60 ATPase-containing subunit A1 [Pundamilia nyererei]	K07767
SSCG00000000088	98.64496885	78.4580579	94.01582826	113.6705208	104.8399287	81.88243119	83.1734957	93.13814802	86.60977594	84.16193308	101.8850672	73.32067772		
SSCG00000000089	4.537332468	3.183600185	1.397088357	1.833395497	9.261668068	1.044623754	3.401146664	3.291348088	4.206366507	8.765590991	3.976002621	3.083291746	554824088:PREDICTED: stanniocalcin-like isoform X3 [Haplochromis burtoni]	
SSCG00000000090	11.42735585	18.67712109	22.84650372	12.55875916	20.40797789	23.38350096	15.30515999	11.41467528	15.37737264	20.28958474	11.92800786	12.08650364	657589270:PREDICTED: alpha/beta hydrolase domain-containing protein 17B [Stegastes partitus]	
SSCG00000000091	5.04148052	4.457040259	4.026901735	9.99200546	9.907830957	10.44623754	10.28073878	11.83484738	10.55039468	18.08286253	10.43700688	12.70316199	542240066:PREDICTED: homeobox protein Nkx-3.1-like [Oreochromis niloticus]	K09348
SSCG00000000092	1.624477057	1.414933416	2.218905038	1.925065272	1.130785055	1.124979427	0.850286666	1.120458924	0.896438764	0.735574069	2.050126351	0.678324184	831524494:PREDICTED: homeobox protein Nkx-2.6 [Fundulus heteroclitus]	K09343
SSCG00000000093	209.1654251	172.7633701	105.9321701	150.3384308	164.0176799	175.175368	101.3387108	146.1498608	148.6709211	198.3598073	160.0341055	155.6445673	736305104:PREDICTED: guanine deamise [Notothenia coriiceps]	K01487
SSCG00000000094	38.53931775	39.61813564	42.07701405	29.15098841	72.96255949	57.53466215	51.4036939	40.96677939	51.9934483	52.28705675	39.20090084	47.91435373	551514081:PREDICTED: ectonucleoside triphosphate diphosphohydrolase 4 [Xiphophorus maculatus]	K12305
SSCG00000000095	7.674253681	11.24872065	8.546893479	7.241912214	11.03861601	10.36588187	11.05372666	6.232552762	5.861330378	9.930249934	8.200505406	6.721576006	657589260:PREDICTED: mitoferrin-1-like [Stegastes partitus]	K15113
SSCG00000000096	37.08289005	78.59955124	26.70904212	12.37541961	2.853886091	13.49975313	0.463792727	8.683556657	33.5130184	19.73790419	32.73989658	11.16151612	401664002:Kruppel-like factor 9 [Oplegthus fasciatus]	K09208
SSCG00000000098	0.784230303	1.273440074	1.972360034	0.458348874	1.02309124	1.767824815	1.314079393	4.551864377	8.964387637	3.616572507	3.416877252	3.453286755	808863716:Beta,beta-carotene 9',10'-oxygese [Larimichthys crocea]	K10252
SSCG00000000101	2.744806061	5.801227004	3.862538399	1.741725722	1.830794851	2.571381549	3.091951513	1.680688385	5.309675754	5.945890392	3.727502457	4.871600959	657527191:PREDICTED: GDNF family receptor alpha-2-like [Stegastes partitus]	
SSCG00000000102	3.641069265	5.093760296	4.602173412	2.291744372	2.315417017	3.535649629	3.710341815	3.431405453	8.20586253	8.581697474	4.224502785	6.536578501	657527191:PREDICTED: GDNF family receptor alpha-2-like [Stegastes partitus]	
SSCG00000000103	5.153513421	8.206613811	8.300348474	3.850130544	2.853886091	8.7587684	5.720110299	5.742351983	11.72266076	12.87254621	6.150379054	10.4215261	808863717:GDNF family receptor alpha-2 [Larimichthys crocea]	
SSCG00000000104	18.03729697	18.46488107	24.49013708	25.11751831	24.98496502	50.70442991	18.31981271	16.5967978	22.96262372	15.56965113	19.01026253	9.928199422	657527207:PREDICTED: leucine zipper putative tumor suppressor 1 [Stegastes partitus]	
SSCG00000000105	22.74267879	21.86072127	21.69596037	27.04258359	25.84651554	27.07986193	19.24739817	18.48757224	20.54913474	19.73790419	23.04839019	27.13296736	554824020:PREDICTED: survival motor neuron protein 1-like [Haplochromis burtoni]	K13129
SSCG00000000106	5.153513421	3.678826881	3.615993395	3.758460769	3.123120628	4.98205175	5.488213935	3.08126204	2.344532151	4.229550898	4.038127662	2.404967562	583977559:PREDICTED: intraflagellar transport protein 25 homolog [Neolamprologus brichardi]	K19369
SSCG00000000107	2.800822511	1.202693403	1.561451693	3.300111895	3.06927372	6.508809545	2.782756362	6.512667493	2.896186775	1.103361104	2.60925172	2.774962571	808863725:G-protein coupled receptor 98 [Larimichthys crocea]	K18263
SSCG00000000108	75.6222078	71.59563083	72.23768623	63.16047488	53.95460119	61.15066745	65.78126844	63.44598654	67.09499362	67.97930356	72.93479808	69.12740094	657527241:PREDICTED: tetratricopeptide repeat protein 37 [Stegastes partitus]	K12600
SSCG00000000110	14.34021126	10.61200062	11.5876152	18.51729452	14.26943045	19.68713998	10.51263514	8.613527974	9.378128605	6.313677427	8.759630774	6.166583492	657527215:PREDICTED: rhotekin isoform X3 [Stegastes partitus]	
SSCG00000000111	7.45018788	7.923627128	5.423990092	10.26701478	15.56175623	10.04445917	13.68188544	12.74522025	8.274819358	10.35933481	7.641380037	10.54485777	583977569:PREDICTED: D-directed R polymerase III subunit RPC7-like [Neolamprologus brichardi]	K03024
SSCG00000000112	255.6590788	248.3915611	211.3712503	127.2376475	130.0941282	85.33772514	150.8872338	334.1768739	154.8080788	190.6362796	243.4680355	223.2303224	808863726:Arrestin domain-containing protein 3 [Larimichthys crocea]	
SSCG00000000113	24.81528745	26.31776153	23.6683204	19.80067137	23.31571089	26.19594953	24.42641695	27.73135836	23.652192	21.39294584	21.93013946	20.90471804	47215913:unmed protein product, partial [Tetraodon nigroviridis]	
SSCG00000000116	55.73636797	51.36208299	50.70608919	53.44347875	56.970028	47.73126999	41.66404664	51.4710818	48.47665007	53.45171569	63.18116665	52.66262302	734616731:PREDICTED: probable C-mannosyltransferase DPY19L4 [Larimichthys crocea]	
SSCG00000000117	75.90229005	75.34520438	77.99040299	83.05281603	77.86262806	70.95405961	66.0131648	64.91658888	71.64614427	69.1439625	84.61430578	78.68560536	348519473:PREDICTED: integrator complex subunit 8 isoform X2 [Oreochromis niloticus]	K13145
SSCG00000000118	11.03524069	15.13978755	13.97088357	9.166977487	15.07713406	10.12481485	11.13102545	9.243786119	10.89517882	14.09850299	10.87188217	19.05474299	583998807:PREDICTED: nudC domain-containing protein 1-like [Neolamprologus brichardi]	
SSCG00000000120	2.688789611	0.565973366	0.903998349	1.100037298	1.400019592	1.446402121	0.772987878	1.54063102	1.723920699	2.268020047	2.174376433	1.911640882		
SSCG00000000121	1.176345455	4.244800247	0.493090008	0.091669775	1.561560314	0.321422694	1.236780605	1.260516289	0.206870484	1.471148138	3.29262717	2.528299232	554861771:PREDICTED: fibrocystin-L [Haplochromis burtoni]	
SSCG00000000122	9.018648486	10.47050728	8.382530142	12.55875916	14.16173664	13.17833044	12.59970242	10.15415899	8.757517153	9.807654256	8.324755488	12.02483781		
SSCG00000000124	9.578812988	8.843333848	11.42325186	11.73373118	10.39245312	7.553433299	10.66723272	8.543499292	9.171258121	7.539634209	12.23863307	9.743201917	808884965:hypothetical protein EH28_23535 [Larimichthys crocea]	
SSCG00000000125	40.10777836	41.10381573	36.98175063	73.79416877	31.01581865	44.67775441	19.71119089	34.10396848	32.54762281	34.51068341	36.405274	43.04275277	657575557:PREDICTED: solute carrier family 52, riboflavin transporter, member 2 [Stegastes partitus]	
SSCG00000000126	250.7296312	227.7335333	249.5035442	237.0580378	221.0415548	261.9594953	235.9159004	226.4727599	235.8323517	261.8643686	228.2474005	260.5998184	583998958:PREDICTED: eukaryotic translation initiation factor 3 subunit E-B-like [Neolamprologus brichardi]	K03250
SSCG00000000127	771.9627005	866.8589571	934.5699292	470.1742753	896.5510078	612.2298756	806.6901497	845.7364012	712.4619467	793.3166336	725.185603	657.7894611	734627647:PREDICTED: LOW QUALITY PROTEIN: plectin-like [Larimichthys crocea]	K10388
SSCG00000000128	201.8272702	131.093581	872.2762248	197.1816857	1052.437805	378.9573557	145.3990199	164.4973757	174.3228611	170.1015035	82.62630447	76.83563031	930758795:PREDICTED: epiplakin-like, partial [Haplochromis burtoni]	
SSCG00000000129	3.921151516	10.25826726	12.32725021	2.841763021	13.35403303	3.374938282	13.29539151	8.963671388	10.06769688	12.74995053	7.82775516	5.118264298	765134866:PREDICTED: plectin-like isoform X5 [Oryzias latipes]	
SSCG00000000130	1.456427706	1.485680086	0.986180017	1.741725722	1.346172684	0.883912407	2.241664847	2.100860482	1.172266076	2.574509242	1.428875942	1.048319194	734631742:PREDICTED: nuclear factor of activated T-cells, cytoplasmic 1-like [Larimichthys crocea]	K04446
SSCG00000000131	13.89207966	13.58336079	15.28579026	11.09204276	17.12331654	11.89263966	12.75429999	13.51553576	12.27431538	15.75354465	16.64951098	14.92313205	583998787:PREDICTED: F-box/LRR-repeat protein 6-like [Neolamprologus brichardi]	K10272
SSCG00000000132	61.39402945	55.74837658	45.61082577	49.31833888	47.00835014	29.81195483	34.55255816	51.33102443	51.92449147	58.60073418	51.93653424	41.62443857	808884961:putative phospholipid-transporting ATPase IIB [Larimichthys crocea]	K01530
SSCG00000000134	103.0702684	103.573126	97.96054833	130.1710803	115.0708411	128.1672991	111.851346	113.0262939	105.7797741	99.67028637	93.68456176	118.2750714	736260518:PREDICTED: zinc finger protein 706-like [Notothenia coriiceps]	
SSCG00000000135	61.11394719	66.64336388	81.19548805	86.0779186	100.4783292	70.79334826	114.402206	82.56381693	95.78103406	87.1655272	86.60230709	105.0169169	498973317:PREDICTED: cartilage-associated protein [Maylandia zebra]	K19606
SSCG00000000136	65.98737836	56.73882997	56.95189597	53.16846942	53.25459139	41.78495016	53.87725511	64.28633074	59.09600158	51.06109997	63.67816698	59.75419404	657570772:PREDICTED: upstream-binding protein 1 isoform X2 [Stegastes partitus]	K09275
SSCG00000000137	29.29660347	29.57210839	27.69522214	28.78430931	24.60803667	29.73159916	20.3295812	27.66132967	27.78960168	24.51913564	31.43527072	28.98294241	348542245:PREDICTED: transcription elongation factor B polypeptide 3 [Oreochromis niloticus]	K15076
SSCG00000000138	2.296674459	2.263893465	1.972360034	4.858498068	1.561560314	4.01778367	1.236780605	2.941204674	0.827481936	0.367787035	2.857751884	2.034972552	808884887:(+)/H(+) exchanger beta [Larimichthys crocea]	K05742
SSCG00000000139	78.98319482	79.73149797	84.81148144	88.91968162	77.91647497	66.77556459	59.59736541	67.29756409	59.23391523	69.75694089	64.1751673	68.81907177	941789099:PREDICTED: serine/arginine-rich splicing factor 10 [Xiphophorus maculatus]	K12900
SSCG00000000140	86.15330045	89.91901857	83.00348474	81.76943918	71.45484608	69.66836883	78.38097085	75.98112075	83.57567551	70.5538128	81.0110534	77.63728616	734611426:PREDICTED: CLIP-associating protein 2 isoform X2 [Larimichthys crocea]	K16578
SSCG00000000142	686.0334659	727.4880157	812.3657888	943.9236718	705.4483335	1163.389439	766.49478	661.3508796	752.3189933	815.9968341	719.4079742	785.0060785	432882753:PREDICTED: 60S ribosomal protein L11 [Oryzias latipes]	K02868
SSCG00000000143	7132.630624	6043.251365	7285.076147	6965.069494	5088.425053	6125.512983	6356.511219	6116.095063	5838.436711	6217.807607	6503.497787	5804.111714	743864032:PREDICTED: LOW QUALITY PROTEIN: HBS1-like protein [Populus euphratica]	K03231
SSCG00000000144	111.7528182	88.07960513	82.92130308	92.12812374	43.77753569	49.01696077	49.93501693	93.48829143	73.64589228	69.69564305	79.45792738	82.26222378	657570808:PREDICTED: F-box/LRR-repeat protein 2 isoform X2 [Stegastes partitus]	K10268
SSCG00000000145	223.337587	267.6346556	238.9842907	267.6757426	231.4340079	175.5771464	224.2437835	251.8931717	215.3521738	214.1746498	200.5396322	272.9946512	808876492:Programmed cell death 6-interacting protein [Larimichthys crocea]	K12200
SSCG00000000149	3.417003464	12.66365407	14.54615525	10.54202411	11.25400364	4.580273383	10.43533636	12.11496211	7.378380594	9.255973704	9.940006552	43.41274778	808876484:hypothetical protein EH28_25121 [Larimichthys crocea]	
SSCG00000000150	65.09111516	64.73320377	71.82677789	75.71923404	57.40080326	48.05269269	47.84794966	57.49354851	51.92449147	67.18243165	52.74415977	65.42745085	734612562:PREDICTED: uncharacterized protein LOC104922580 isoform X1 [Larimichthys crocea]	
SSCG00000000151	15.57257316	22.56818798	36.48866062	26.30922539	65.69322699	22.57994422	77.99447691	20.30831799	28.27229947	17.65377766	33.54752211	36.69117178	734611460:PREDICTED: peptidyl-prolyl cis-trans isomerase FKBP9 [Larimichthys crocea]	K09575
SSCG00000000173	2.800822511	1.131946733	2.13672337	1.466716398	2.100029388	2.571381549	1.77787212	1.610659703	1.999748011	2.084126529	0.68337545	1.233316698	961998518:PREDICTED: A disintegrin and metalloproteise with thrombospondin motifs 8-like [Poecilia mexica]	
SSCG00000000174	125.1967663	113.8313933	110.2877985	127.6959964	86.80121468	97.2303648	73.82034237	88.65631232	82.61027992	96.4215009	97.59843934	96.81536082	736181094:PREDICTED: neurolysin, mitochondrial-like [Notothenia coriiceps]	K01392
SSCG00000000175	166.2568243	159.1800093	165.1029711	197.1816857	162.6176603	149.3008412	127.3884023	134.6651569	136.6034762	143.0691565	145.1862207	151.8212856	734642039:PREDICTED: excitatory amino acid transporter 5-like [Larimichthys crocea]	K05618
SSCG00000000177	10.86719134	8.418853823	15.77888027	10.72536366	12.16940107	19.84785133	12.29050726	10.36424504	8.757517153	8.459101795	5.839753849	8.263221879	657564995:PREDICTED: tetraspanin-33-like [Stegastes partitus]	K17346
SSCG00000000180	8.906615586	8.631093836	8.05380347	8.341949513	7.323179403	8.196278686	5.410915148	7.002868272	6.688812314	7.171847174	7.703505078	6.783241841		
SSCG00000000182	175.3875057	237.2843338	293.7994633	268.2257613	307.7889225	201.6927402	238.0029677	326.3336615	265.0010899	217.6073288	206.7521363	244.6283671	736204864:PREDICTED: PDZ and LIM domain protein 5-like isoform X2 [Notothenia coriiceps]	
SSCG00000000183	1.848542857	2.051653453	1.561451693	1.191707073	2.207723202	1.366046448	1.855170908	1.890774433	1.654963872	1.716339495	1.801626188	3.083291746	928022104:PREDICTED: WD repeat-containing protein 70 [Austrofundulus limeus]	
SSCG00000000188	2.240658009	1.980906782	0.739635013	2.291744372	0.753856703	1.044623754	1.932469696	1.190487606	1.103309248	1.287254621	1.739501147	1.664977543	554839144:PREDICTED: alpha-(1,3)-fucosyltransferase 4-like [Haplochromis burtoni]	K07632
SSCG00000000189	28.73643897	29.7843484	25.7228621	30.52603503	35.26972433	31.66013532	29.76003331	28.99187465	26.6173356	28.6873887	30.1927699	31.57290748	657552744:PREDICTED: sigl recognition particle receptor subunit beta [Stegastes partitus]	K12272
SSCG00000000190	35.29036364	39.83037565	23.50395707	73.88583854	19.92335573	34.31187254	16.00084908	20.93857613	16.68755237	14.71148138	15.59338528	22.26136641	831548305:PREDICTED: protein CASP-like, partial [Fundulus heteroclitus]	K09313
SSCG00000000191	49.91065715	61.05437689	40.9264707	39.78468229	38.50053877	38.32965621	40.58186361	38.16563208	32.47866598	35.18495964	40.00852637	33.42288253	657552754:PREDICTED: protein CASP isoform X1 [Stegastes partitus]	K09313
SSCG00000000192	21.00616883	20.23354784	19.39487366	26.40089516	27.62346348	23.94599067	22.10745332	19.0478017	14.75676119	22.49630695	17.64351163	21.64470806	734597886:PREDICTED: WD repeat-containing protein 53 isoform X1 [Larimichthys crocea]	
